flow_id,src_addr,src_port,dst_addr,dst_port,ip_prot,timestamp,flow_duration,down_up_ratio,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_var,pkt_len_std,bytes_per_s,pkt_per_s,fwd_pkt_per_s,bwd_pkt_per_s,fwd_pkt_cnt,fwd_pkt_len_tot,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,fwd_pkt_hdr_len_tot,fwd_pkt_hdr_len_min,fwd_non_empty_pkt_cnt,bwd_pkt_cnt,bwd_pkt_len_tot,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,bwd_pkt_hdr_len_tot,bwd_pkt_hdr_len_min,bwd_non_empty_pkt_cnt,iat_max,iat_min,iat_mean,iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,flag_SYN,flag_fin,flag_rst,flag_ack,flag_psh,fwd_flag_psh,bwd_flag_psh,flag_urg,fwd_flag_urg,bwd_flag_urg,flag_cwr,flag_ece,fwd_bulk_bytes_mean,fwd_bulk_pkt_mean,fwd_bulk_rate_mean,bwd_bulk_bytes_mean,bwd_bulk_pkt_mean,bwd_bulk_rate_mean,fwd_subflow_bytes_mean,fwd_subflow_pkt_mean,bwd_subflow_bytes_mean,bwd_subflow_pkt_mean,fwd_tcp_init_win_bytes,bwd_tcp_init_win_bytes,label
192.168.132.136-190.98.160.160-62091-443-17,192.168.132.136,62091,190.98.160.160,443,17,1782936736946910,21429185,0.0,28.0,24.0,25.333333,5.333333,2.309401,3.546565,0.139996,0.0,0.139996,0,0,0.0,0.0,0.0,0.0,0,0,0,3,76,28.0,24.0,25.333333,2.309401,24,8,3,13430963.0,7998222.0,10714592.5,3841528.00153,0,0.0,0.0,0.0,0.0,21429185,13430963.0,7998222.0,10714592.5,3841528.00153,0.0,0.0,0.0,0.0,13430963.0,7998222.0,10714592.5,3841528.00153,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.333333,1.0,-1,-1,NeedLabel
192.168.132.125-108.177.123.102-51688-443-17,192.168.132.125,51688,108.177.123.102,443,17,1782936742275394,119610048,0.0,36.0,25.0,30.5,60.5,7.778175,0.509991,0.016721,0.0,0.016721,0,0,0.0,0.0,0.0,0.0,0,0,0,2,61,36.0,25.0,30.5,7.778175,16,8,2,119610048.0,119610048.0,119610048.0,0.0,0,0.0,0.0,0.0,0.0,119610048,119610048.0,119610048.0,119610048.0,0.0,0.0,0.0,0.0,0.0,119610048.0,119610048.0,119610048.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,1.0,-1,-1,NeedLabel
192.168.132.136-190.98.160.161-60673-443-17,192.168.132.136,60673,190.98.160.161,443,17,1782936742334674,8796962,0.0,70.0,21.0,34.75,554.25,23.542515,15.800909,0.454702,0.0,0.454702,0,0,0.0,0.0,0.0,0.0,0,0,0,4,139,70.0,21.0,34.75,23.542515,32,8,4,8178042.0,206409.0,2932320.666667,4544096.581153,0,0.0,0.0,0.0,0.0,8796962,8178042.0,206409.0,2932320.666667,4544096.581153,618920.0,618920.0,618920.0,0.0,8178042.0,8178042.0,8178042.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.5,2.0,-1,-1,NeedLabel
192.168.132.10-255.255.255.255-52533-10001-17,192.168.132.10,52533,255.255.255.255,10001,17,1782936744435176,0,0.0,243.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,1,243,243.0,243.0,243.0,0.0,8,8,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,1.0,0.0,0.0,-1,-1,NeedLabel
192.168.132.136-157.240.197.60-62497-443-17,192.168.132.136,62497,157.240.197.60,443,17,1782936750296073,0,0.0,48.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,48,48.0,48.0,48.0,0.0,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,1.0,-1,-1,NeedLabel
185.199.108.133-192.168.132.136-443-54375-6,185.199.108.133,443,192.168.132.136,54375,6,1782936751106048,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,32,32,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,246,-1,NeedLabel
3.223.181.245-192.168.132.36-443-41548-6,3.223.181.245,443,192.168.132.36,41548,6,1782936751223619,0,0.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,1,69,69.0,69.0,69.0,0.0,32,32,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,1.0,0.0,0.0,273,-1,NeedLabel
192.168.132.10-255.255.255.255-34796-10001-17,192.168.132.10,34796,255.255.255.255,10001,17,1782936754442048,0,0.0,243.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,1,243,243.0,243.0,243.0,0.0,8,8,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,1.0,0.0,0.0,-1,-1,NeedLabel
57.144.247.33-192.168.132.29-443-49470-6,57.144.247.33,443,192.168.132.29,49470,6,1782936756356396,30679173,0.0,110.0,110.0,110.0,0.0,0.0,7.170989,0.065191,0.065191,0.0,2,220,110.0,110.0,110.0,0.0,64,32,2,0,0,0.0,0.0,0.0,0.0,0,0,0,30679173.0,30679173.0,30679173.0,0.0,30679173,30679173.0,30679173.0,30679173.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30679173.0,30679173.0,30679173.0,0.0,0,0,0,2,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,1.0,0.0,0.0,192,-1,NeedLabel
192.168.132.101-255.255.255.255-35195-10002-17,192.168.132.101,35195,255.255.255.255,10002,17,1782936758427120,0,0.0,154.0,154.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,1,154,154.0,154.0,154.0,0.0,8,8,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,1.0,0.0,0.0,-1,-1,NeedLabel
